"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1881","Login Test with CSV Data: Valid login @datadriven","chromium","2026-03-20","failed","2026-03-20","","LoginDataDriven.spec.ts","",""
"","4783","User login test @master @sanity @regression","chromium","2026-03-20","passed","2026-03-20","","Login.spec.ts","",""
"","3811","Login Test with JSON Data: Invalid login @datadriven","chromium","2026-03-20","failed","2026-03-20","","LoginDataDriven.spec.ts","",""
"","1801","Login Test with CSV Data: Invalid login @datadriven","chromium","2026-03-20","failed","2026-03-20","","LoginDataDriven.spec.ts","",""
"","7010","Product search test @master @regression","chromium","2026-03-20","passed","2026-03-20","","SearchProduct.spec.ts","",""
"","5223","Add product to cart test @master @regression","chromium","2026-03-20","passed","2026-03-20","","AddToCart.spec.ts","",""
"","6420","User logout test @master @regression","chromium","2026-03-20","passed","2026-03-20","","Logout.spec.ts","",""
"","9319","User registration test","chromium","2026-03-19","passed","2026-03-19","","AccountRegistration.spec.ts","",""
"","18681","execute end-to-end test flow @end-to-end","chromium","2026-03-20","passed","2026-03-20","","EndToEndTest.spec.ts","",""
"","5351","Login Test with JSON Data: Valid login @datadriven","chromium","2026-03-20","passed","2026-03-20","","LoginDataDriven.spec.ts","",""
"","8544","User registration test @master @sanity @regression","chromium","2026-03-20","passed","2026-03-20","","AccountRegistration.spec.ts","",""
